"Training Session","Í×áæÇÕàæÉÚæÏãç"
" with the possible involvement of ","ÉÚåÆãçÄÚèÓà×å"
"the loss of a diplomat of ","ĞÌ×æÕÖİæÖÜæËÕŞÈÖà"
"They suspected the involvement of ","ÅØÂáçÊÖÜçÕçÓà×åÇÕŞå"
" lost a diplomat at ","ĞÌ×æÇÕŞåÕÖİæÖÜæËÕŞÈÖà"
"horrible mutilation of","ÉÚåÁØæÄÚèÓàçÊÜæ"
"hanging from a ","ÈÖØæÒÜæÕÈÚæ"
"animation of","ÄÖãæÊÖØæ"
" of the skins of","ÄÚèÁÕçÃÖ"
"display on ","ÍÕàåĞæÒÜæ"
"construction of a gruesome sculpture from","ËÕàæÒŞæÕÈÚæÇÕãçÑáçÂŞçÈÖåÔÖãåÑàçÄÚèÄÕŞÔÖæÒÜæ"
"construction of a grotesque pillar from","ËÕàæÒŞæÕÈÚæÈÖÜæÄàæÄÚèÎÎÖæÒÜæ"
"construction of a grisly mound from","ËÕàæÒŞæÕÈÚæÉÚåÁØæÄÚèÅÖåÄÖáÒÜæ"
"impalement on ","ÓæËÕ"
"horribly mutilated","ÉÚåÁØæÄÚèÎËÕÛå"
"hung from a ","ÈÖØæÒÜæ"
" into a family heirloom","ÏãçÖİçÏÖàçĞæËÕØÒÖç"
"the sanctification of ","ÄÚèÏãçĞãæ"
"the claiming of ","ĞãÏãÄÚè"
"the making of ","ÎæÒÖÙæ"
" was sanctified","ÀİæĞãæÊÖØæÇÕŞå"
" was claimed","ĞãÏã"
" was made a family heirloom","ĞæÕÈÚæËÕØÅÕãçÄÚèÏÖàçËÕØÀŞå"
" an official symbol","ÈÖàÃâÄÚèÍÕâæÎã"
" a symbol of ","ÍÕâæÎã"
" was made","ÏãçÇÕŞå"
"the offering of ","ÅÕçÈÖã"
"the inheritance of ","ÄÚèÕçÏàå"
" was offered","ÀİæÅÕçÈÖã"
" was inherited","ËÕæÏãç"
"the acquisition of ","ĞßÈßæ"
" was acquired","ÀİæĞßÈßæ"
" from","ÓÖãç"
"the original ","×àçÀáåÄÚè"
"the acquisition of a copy of ","ĞßÈßæÄÚèÃÖæÀáå"
", keeping it within ","ÀŞåÏçÅØ"
" acquired a copy of ","ÊÖÙæÄÚçÇÕŞåÕÃáæÃÖæÀáå"
" made a copy of the original ","ÎæÒÖÙæÇÕŞå×àçËÕàæÄÚèÃÖæÀáå"
"the naming of ","ÄÚèÂÕãæÂÕãç"
" was created","ÏÖâæËÕàæÇÕŞå"
" received its name","ÄÚçÄŞæÇÕŞåÅØÄÚèÂÕãçÒæ"
"the authoring of ","ÄÚèÏÖâæÒÖÙæ"
" was authored by ","ĞæÕßçĞÖİçÏÖâæÒÖÙæÄÚè"
"a work","ÕÈÚæÈÖãÒÖÙæ"
"a dance form","ÕÎÖãåÖåÄŞåÍÕãçĞæ"
"a musical form","ÕáÇÚæÍÕãçĞæ"
" was created by ","ĞæÕßç...ÏÖâæËÕàæÄÚè"
"a poetic form","ÕÎÖãåĞÕæÄÚèÍÕãçĞæ"
"merchants from ","ĞâÑáçÇÜç×ç"
" delivered tribute to ","ÎæËÕãæ"
"a caravan from ","ÄØæÁãçÏÚÇÜç×ç"
" crafts","ĞßåÈÖãÕæ"
" beds","ÏÖâç"
" boxes","ÊÚç"
" chairs","ÕåÒå"
" cabinets","ÏÖçÈÖİæ"
" tables","ÎÖÙÒå"
" bags","ÀŞÎÖâÄÜæ"
" flasks","ÀŞåÖáÁÕãç"
" backpacks","ÀİæÀŞ"
" quivers","ËÕàæÅÖãå"
" cloth","ÀÖæ"
" thread","ÔÍÕàæ"
" anvils","Îá"
"the storing of ","ÓÖáçÏÖå"
"the concealment of ","ÕáåÂàç"
" was stored","ÀİæÓÖáçÏÖåÇÕŞå"
" was hidden in ","ÕáåÓâçÒÜæ"
"visit of merchants","ÓàÈÖàĞâÑáç"
"tribute delivery","ÎæËÕãæËÕŞÃÖæ"
"costly ","âçÈÖİæ"
"terrible ","ÉÚåÁØæ"
"tragic ","ÀİÓàå"
"ill-fated ","ÀÖæÍÕãæÄÚè"
".  They were greatly offended by the locals",".ÄâÄÕæÑáçËÕçÄØæÏãçÄÖæĞâæÂŞæÃàæÇÕŞåÅØÂáç"
".  They reported irregularities with their goods",".ÅØÂáçÀŞæÈŞæĞÖÙÊÖÙæÖæÓÖáçÒÜæÖİçÈÖİÍÕãçÖİç"
".  They reported a seizure of goods","ÅØÂáçÀŞæÈŞæËÕÊÖÙæÇÕŞåÊÖÙæÖæ"
" and suffered great hardships","ÀÕãæÌÕÛåÒŞĞßæÇÕŞåË×æÄØæÄÚèËÕàÍÕá"
" and were never heard from again","ÓÖãçÇÜçÂİçÕßåÒÜæÅÕãÈÖÙæ"
" visited ","ÓàÈÖà"
"there was a procession","ÕßçÍÕãçÄÖİæÖå"
" held a procession","Ë×åÍÕãçÕßçÍÕãç"
" was the victor.","ĞæĞãæÇÕæÎÚå."
"The victory was shared by ","ĞãæÇÕæÃáÍÕâåÈİå"
" winners","ĞãæÇÕæÎÚå"
"Victory was spread among ","ĞãæÇÕæÒÜæÌÕçÎÖãÏÖàçÀÙ"
"Competing were ","ËÕãæÎãÄÖİæĞßå"
" including ","ÀŞÊàç"
" competitors","ËÕãæÎãÄÖİæĞßå"
"There were ","ÒãËÕãÕßå"
"there was a competition","ÕßåÕÏâçÀÕåÔÜæ"
"a gladiatory competition","ÕÏâçÕßåÎãÕæÄÚèÀÕåÔÜæ"
" throwing competition","ÅßçÎæÀÕåÔÜæ"
"a wrestling competition","ÕÏâçĞÖÜËÕŞÀÕåÔÜæ"
" race","ÎÖãåÒÖç"
"a flying race","ÕÏâçÃİÍÕãçÀÕåÔÜæ"
" religion of ","ÒÖãËÕŞæ"
" civilization of ","ÖáçÂÕãçÄÚè"
" was a","ÒãËÕãĞæÕÈÚæ"
" were a population within ","ĞæÕÈÚæÑáçÉßå"
" could be found within ","ÉÚåÕåÒÜæÇÕåÂÕàæÎŞåÄŞæ"
" was a legendary ","ĞæÕÈÚæÏÖàçÌÕç"
" was a ","ÒãËÕãĞæÕÈÚæ"
"a ceremony held by ","Ë×åÍÕãçÄÚèÕçĞæ"
"there was a ceremony","ÕßåÕÈÚæÕçĞæ"
" held a ceremony","Ë×åÍÕãçÕçĞæ"
"a procession held by ","Õßç...Ë×åÍÕãçÄÚèÕßçÍÕãç"
"  It ended at ","ËÕÛçĞÖæ×ç"
" and ended at ","ËÕÛçĞÖæ×ç"
" and returned there after following its route.","ÒÖáÍ×áçÌÕçÇÖæÍÕàæÊßæÃàåÊÖİçÆØæÇÕå."
"  It started at ","ÅØĞå×ç"
"the discardment of ","ÄÕßÌÕæ"
" was dropped by ","ÀİæÄÕßÌÕæÇÕŞå"
" was recovered by ","ÀİæÊÖİÃÖæÇÕŞå"
"the theft of ","ÄŞæÌÕÛæ"
"the recovery of ","ÊÖİÃÖæ"
"the looting of ","ÌÕâåËÕÛç"
"the confiscation of ","ÂİçĞß"
" and brought to ","ÀÕãæÄÜæÇÜçÇÕŞå"
" was stolen","ÀİæÄŞæ"
" was recovered","ÀİæĞßÊÖİçÇÕŞå"
" was looted","ÀİæÍÕåËÕÛçÕÉÖã"
" was confiscated","ÀİæÂİçĞßÇÕŞå"
"the discovery of ","ÃØÍÕàæ"
" was found","ÀİæÃØÍÕàæ"
"the disappearance of ","ÍÕŞĞÇÕŞå"
" was lost","ÄÕßĞÇÕŞå"
"a foot race","ÕÏâçÒÖçÌÕßçÀÕåÔÜæ"
"a poetry competition","ĞÈÚÀÕåÔÜæ"
"a music competition","ÕáÇÚæÀÕåÔÜæ"
"a dance competition","ÕÏâçÖåÄŞåÀÕåÔÜæ"
"a competition involving ","ĞÚæËÕçÄÚèËÕãæÎã"
"the performance","ÀÕŞåÍÕàæ"
" held by ","Àİæ......ÏçÕßå"
" as part of ","ÒÖÙæÖİç...ÄÚèÕÀÖæÃá"
"there was a performance","ÕßåÀÕŞåÕàå"
"a story recital","ËÕâåÈÖæĞæ"
"a poetry recital","ĞÈÚÇâåÔÖãæ"
"a recital of ","ÕÈÚæÄÖçÒßæÊÖİæ"
"a concert","ÕÏâçÕáÇÚæÊÖİæ"
"a dance","ÕÎÖå"
"a performance of ","ÀÕŞåÍÕàæ"
" held ","ÀŞåÏç"
"former apprentice","ÕåÌÕàçÄÚèÍ×ÛçÅÖç"
"former master","ÌÕàçÄØæĞ"
"traveling companion","Ç×åÍÕãçÀàæl???"
"apprenticeship","Í×ÛçÅÖç"
"imprisoner","ÌÕàçÌÕßçÃàæ"
"prisoner","ÌÕßçÃàæ"
"lover","ÇÕàæÑáç"
"worship","ÏÖãçÀÜæ"
"dubious ","ÉÚåÕçÄÚè"
"casual ","ÔÖİçÀÕàæ"
"faithful ","ÉÚåÍÕáæ"
"ardent ","ÑÚæÍÕá"
"object of ","ÄÚèÄÖİæÍÕâæ"
" in defense of ","ÖİçÇÕŞåÊàæÖİæ"
", an assault on ",",ÈÖãËÕÇÕŞå"
"former worker","ÌÕàçÈÖãÑáç"
"worker","ÈÖãÑáç"
"former prisoner","ÌÕàçÌÕßçÃàæ"
"former slave","ÕåÌÕàçÄÚèÆÖçÇÕæ"
"slave","ÆÖçÇÕæ"
"former member","ÌÕàçÏãç×àç"
"member","ÊÖİæ×àç"
"former mercenary","ÌÕàçÈÖæ×ãÀÕã"
" until ","ÎçÄŞæ"
" to present","ÎàåĞæ"
"b. ","Öà"
"deceased spouse","ÕçĞÖâ"
"former spouse","ËÕßæÜæ"
"owner","ÔÖÙåÕßåÎÚå"
"biting","ÕŞå"
"wrestling","ĞÖÜËÕŞ"
" known for ","ÖáçÂÕãç×ç"
" dedicated to the mastery of ","ÎæÇÕæ×çÎâåÖÙæ"
" group from ","ÅÖàçÅÕåÇÜç×ç"
" collection of outcasts from ","ÃâæÎÖçÎÚåÄÚèËÕçÅÖàçÇÜçÒæ"
" performance troupe from ","ÕàåÏÖÅÖàçÇÜçÒæ"
"band","ÇÚæÄÖİæ"
" bandit gang from ","ÌÕâçÄŞæÅÖàçÊÖÙåÇÜçÒæ"
"as part of ","ÒÖÙæÖİç...ÄÚèÕÀÖæÃá"
" which was said to permeate ","Ë×æĞÖÙÅØĞáæÅßæÇÕŞå"
" which permeates ","ĞáæÅßæ"
", a force",",ÕÈÖåÇÕæÇÕâç"
"deity","Ğáç"
"god","Ğáç"
"goddess","Æ×åĞáç"
" centered around the worship of ","ÕåÏÖãçÀÜæÖİçÎÖãÍÕá"
" centered around the worship of various beings","ÕåÈÚæÎÖãåÎÖãæĞãÄÚèÏÖãçÀÜæÖİçÎÖãÍÕá"
"striking","ËÕãÑáç"
"known killer","ÎÂÕãçÄÚèĞØĞßå"
"noted killer","ÎÖæÂÕãçÄÚèĞØĞßå"
"infamous killer","ÏßæÂÕãçÎŞÎÖÙçÄÚèĞØĞßå"
"legendary killer","ÏÖàçÌÕçĞØĞßå"
"rumored hunter","ÏÖàçĞÖÙÎÖãÄÚèÇÕÛæÑáç"
"skilled hunter","ĞÖçÇÕàæÄÚèÇÕÛæÑáç"
"talented hunter","ÓÜçÊÖØçÊãçÕæÄÚèÇÕÛæÑáç"
"great hunter","ÖİåÄØæÄÚèÇÕÛæÑáç"
"legendary hunter","ÏÖàçÌÕçÇÕÛæÑáç"
"rumored villain","ÏÖàçĞÖÙÎÖãÄÚèÚæÈÖáæ"
"known villain","ÎÂÕãçÄÚèÚæÈÖáæ"
"noted villain","ÎÖæÂÕãçÄÚèÚæÈÖáæ"
"infamous villain","ÏßæÂÕãçÎŞÎÖÙçÄÚèÚæÈÖáæ"
"legendary villain","ÏÖàçĞÖÙÎÖãÄÚèÚæÈÖáæ"
"rumored bully","ÏÖàçĞÖÙÎÖãÄÚèÚæÀØæ"
"known bully","ÎÂÕãçÄÚèÚæÀØæ"
"rumored loyal soldier","ÏÖàçĞÖÙÎÖãÄÚèÎÖãÏãçĞæÀÕã"
"known loyal soldier","ÎÂÕãçÄÚèÎÖãÏãçĞæÀÕã"
"noted loyal soldier","ÎÖæÂÕãçÄÚèÎÖãÏãçĞæÀÕã"
"famous loyal soldier","ÂÕãçĞãÍÕàåÊÚæÄÚèÎÖãÏãçĞæÀÕã"
"legendary loyal soldier","ÏÖàçÌÕçÎÖãÏãçĞæÀÕã"
"rumored enemy fighter","ÏÖàçĞÖÙÎÖãÄÚèÄßåĞæ"
"known enemy fighter","ÎÂÕãçÄÚèÄßåĞæ"
"noted enemy fighter","ÎÖæÂÕãçÄÚèÄßåĞæ"
"infamous enemy fighter","ÏßæÂÕãçÎŞÎÖÙçÄÚèÄßåĞæ"
"legendary enemy fighter","ÏÖàçÌÕçÄßåĞæ"
"rumored murderer","ÏÖàçĞÖÙÎÖãÄÚèÍ×ãĞßå"
"known murderer","ÎÂÕãçÄÚèÍ×ãĞßå"
"noted murderer","ÎÖæÂÕãçÄÚèÍ×ãĞßå"
"infamous murderer","ÏßæÂÕãçÎŞÎÖÙçÄÚèÍ×ãĞßå"
"legendary murderer","ÏÖàçÌÕçÍ×ãĞßå"
"rumored killer","ÏÖàçĞÖÙÎÖãÄÚèĞØĞßå"
"infamous intruder","ÏßæÂÕãçÎŞÎÖæÄÚèÑÖæÌÕáÎÚå"
"legendary intruder","ÏÖàçÌÕçÄÚèÑÖæÌÕáÎÚå"
"rumored brawler","ÏÖàçĞÖÙÎÖãÄÚèÎãÄßåÎÚå"
"known brawler","ÎÂÕãçÄÚèÎãÄßåÎÚå"
"noted brawler","ÎÖæÂÕãçÄÚèÎãÄßåÎÚå"
"famous brawler","ÂÕãçĞãÍÕàåÊÚæÄÚèÎãÄßåÎÚå"
"legendary brawler","ÏÖàçÌÕçÄÚèÎãÄßåÎÚå"
"respected for heroic acts","ÒÖáÎÖãæÕãÍ×ãçÍÕãçÖİç"
"greatly respected for heroic acts","ÕáÕã×ãåÍÕãçÖİçäçĞßæÄŞæËÕçÄØæÒÖáÎÖãæ"
"famous hero","ÂÕãçĞãÍÕàåÊÚæÄÚèÕãÍ×ãç"
"legendary hero","ÏÖàçÌÕçÕãÍ×ãç"
"claim to ","ÔÖÙåÁİç"
"noted bully","ÎÖæÂÕãçÄÚèÚæÀØæ"
"infamous bully","ÏßæÂÕãçÎŞÎÖæÄÚèÚæÀØæ"
"legendary bully","ÏÖàçÌÕçÚæÀØæ"
"rumored brigand","ÏÖàçĞÖÙÎÖãÄÚèÄÚèÌÕâçÄŞæ"
"known brigand","ÎÂÕãçÄÚèÌÕâçÄŞæ"
"noted brigand","ÎÖæÂÕãçÄÚèÌÕâçÄŞæ"
"infamous brigand","ÏßæÂÕãçÎŞÎÖæÄÚèÌÕâçÄŞæ"
"legendary brigand","ÏÖàçÌÕçÌÕâçÄŞæ"
"rumored monster","ÏÖàçĞÖÙÎÖãÄÚèÈÖÜæÖæ"
"known monster","ÎÂÕãçÄÚèÈÖÜæÖæ"
"noted monster","ÎÖæÂÕãçÄÚèÈÖÜæÖæ"
"infamous monster","ÏßæÂÕãçÎŞÎÖæÄÚèÈÖÜæÖæ"
"legendary monster","ÏÖàçĞÖÙÎÖãÄÚèÈÖÜæÖæ"
"rumored intruder","ÏÖàçĞÖÙÎÖãÄÚèÑÖæÌÕáÎÚå"
"known intruder","ÎÂÕãçÄÚèÑÖæÌÕáÎÚå"
"noted intruder","ÎÖæÂÕãçÄÚèÑÖæÌÕáÎÚå"
"a shrine","ÕÒÖÙæĞãæÓç"
"an unknown secret","ÕÈÚæÖİæÎÄÚèÂÕæÂÕæ"
"an unknown construction","ÕÈÚæÖİæÎÄÚèËÕÛçÈßæ"
"a wall","ÕÄÖåÌÕâç"
"a bridge","ÕÒÖÙæÌÕŞç"
"a tunnel","ÕÅÕŞçÔÖİæÄŞæ"
"a road","ÕÅÕŞçÇÖæ"
"an unknown site","ÕÈÚæÖİæÎÄÚèÍÕŞåÎàæ"
"an unknown building","ÕÒÖÙæÖİæÎÄÚèËÕàæÎÖæ"
"a barrow","ĞßåÅÖİÏÚ"
"a fortress entrance","ÕŞæÔÜÑÖæÉßå"
"a trenches","ÕÈÚæÈßÌ×ç"
"a well","ÕÉßåËÕãå"
"a pasture","ÕÈÚæÂÖæÏâç"
"a dining hall","ÕÈÚæÓàÅÕã"
"a dormitory","ÕÈÚæÔÖæĞÚæ"
"a warehouse","ÕÈÚæÓâÉÖæ"
"a market square","ĞæÏâçÈÖâåÏâç"
"legendary treasure hunter","ÏÖàçÌÕçÍ×áçÀŞåÎÚå"
"rumored preserver of knowledge","ÏÖàçĞÖÙÎÖãÄÚèÀÙçÍ×ÛçÄØæĞ"
"known preserver of knowledge","ÎÂÕãçÄÚèÀÙçÍ×ÛçÄØæĞ"
"noted preserver of knowledge","ÎÖæÂÕãçÄÚèÀÙçÍ×ÛçÄØæĞ"
"famous preserver of knowledge","ÂÕãçĞãÍÕàåÊÚæÄÚèÀÙçÍ×ÛçÄØæĞ"
"legendary preserver of knowledge","ÏÖàçÌÕçÀÙçÍ×ÛçÄØæĞ"
"rumored protector of the weak","ÏÖàçĞÖÙÎÖãÄÚèÀÕæÊÖæÎÚå"
"known protector of the weak","ÎÂÕãçÄÚèÀÕæÊÖæÎÚå"
"noted protector of the weak","ÎÖæÂÕãçÄÚèÀÕæÊÖæÎÚå"
"famous protector of the weak","ÂÕãçĞãÍÕàåÊÚæÄÚèÀÕæÊÖæÎÚå"
"legendary protector of the weak","ÏÖàçÌÕçÀÕæÊÖæÎÚå"
"rumored fighter","ÏÖàçĞÖÙÎÖãÄÚèÎàæĞæ"
"known fighter","ÎÂÕãçÄÚèÎàæĞæ"
"noted fighter","ÎÖæÂÕãçÄÚèÎàæĞæ"
"famous fighter","ÂÕãçĞãÍÕàåÊÚæÄÚèÎàæĞæ"
"legendary fighter","ÏÖàçÌÕçÎàæĞæ"
"an unknown civilization","ÕÈÚæÖİæÎÄÚèÖáçÂÕãç"
"a time before time","ÕÄÖàæĞçËÕàÎÌÕàç"
"prison","ËÕà×æ"
"hangout","ÏŞçÍ×Ûç"
"seat of power","Ì×àçÇÕæÔÖÙåÒÜæÄÕæ"
"rumored thief","ÏÖàçĞÖÙÎÖãÄÚèÍÕŞåÅß"
"known thief","ÎÂÕãçÄÚèÍÕŞåÅß"
"noted thief","ÎÖæÂÕãçÄÚèÍÕŞåÅß"
"infamous thief","ÏßæÂÕãçÎŞÎÖÙçÄÚèÍÕŞåÅß"
"legendary thief","ÏÖàçÌÕçÍÕŞåÅß"
"rumored treasure hunter","ÏÖàçĞÖÙÎÖãÄÚèÍ×áçÀŞåÎÚå"
"known treasure hunter","ÎÂÕãçÄÚèÍ×áçÀŞåÎÚå"
"noted treasure hunter","ÎÖæÂÕãçÄÚèÍ×áçÀŞåÎÚå"
"famous treasure hunter","ÂÕãçĞãÍÕàåÊÚæÄÚèÍ×áçÀŞåÎÚå"
" Notable Kill","ÎçÄÚçÎÖæÕæÄÚèĞØÇÖæ"
"Unknown Age","ÖİæÎÆÕàçÇÕãç"
"The world has passed into ","ĞæËÕÛæÕåËÕãÏãçÖİç"
"Age of Emptiness","ÉÖãÍ×ĞçÄÜæ"
"Age of Civilization","ÖáçÂÕãçĞçÄÜæ"
"Age of Death","ÔåÖâçĞçÄÜæ"
"Golden Age","ÊÖâçËÕáÆÕàçÇÕãç"
"Age of Heroes","ÕãÍ×ãçĞçÄÜæ"
"Age of Fairy Tales","ÅÖãçÊÖØæĞçÄÜæ"
"Twilight Age","ÂÖæÈÖâĞçÄÜæ"
"Age of Legends","ÏÖàçĞÖÙĞçÄÜæ"
"Age of Myth","ĞáçÊÖØæĞçÄÜæ"
"Age of One Power","ÕÅÖãåĞçÄÜæ"
" Age","ÆÕàçÇÕãç"
"Age of the ","ÆÕàçÇÕãç"
"Two Powers","ÇÕâåÈÚæÌ×àçÇÕæ"
"Attempted ","ÏâçĞæ"
"Insurrection in ","ÌÕåÕæ"
"Purge in ","ÌÕãÏÖç"
"Overthrow of ","ÅÖİÃà"
"Destruction","ÊÖİåÂÕÛæ"
"Surrender","ÅßçËÕâæ"
"Conquest","ÎãÃÖç"
"Pillaging","ÌÕâåËÕÛç"
"Duel of ","Ë×ÛçÄßå"
" in the wilds","ÒÜæÕÛåÖÜæ"
" Other Kill","ÌÕçÅØĞØÇÖæ"
"Unknown creature[R]","ÖİæÎÄÚèĞãÖæ[R]"
"Unknown creature in ","ÖİæÎÄÚèĞãÖæ"
" Kill","ĞØ"
"a trade agreement","ÕÃáæÂŞæÕæÍÕÛçÄÕãæ"
"the elevation of the landed nobility","ÄãĞâæÈÖİæÒÖçÄÚèÈŞÄÖæ"
"the establishment of landed nobility","ËÕàæÇÕæÄâÄÕæÈÖİæÒÖç"
"a lumber agreement","ÂÖæÓÜçÍÕÛçÕæ"
"a peace agreement","ÊÚçÁÕãçÍÕÛçÕæ"
"an unknown population","ÕÈÚæÖİæÎÄÚèÑáçÉßå"
"an empty population","ÉÖãÉÖâæÄÚèÑáçÉßå"
"an unknown region","ÕÈÚæÖİæÎÄÚèÄÕæÌ×"
"an unknown underground region","ÕÈÚæÖİæÎÄÚèÄÕæÍÕØæÌ××æ"
"the Underworld","ÄÕæÍÕØæĞæËÕÛæ"
"the magma sea","ÕàçËÕâÊÜå"
"the depths of the world","ÒÜæĞæËÕÛæÄÚèĞáÏÖå"
"an unknown artifact","ÕÈÚæÖİæÎÄÚèĞáçÌÕæ"
"Two ","äæ"
"Age of ","ÆÕàçÇÕãç"
"Age of Three Powers","ÔàÌ×àçĞçÄÜæ"
"some vague concept","ÕÍÕÛÂÙçÊÖÄÚèÈÜæÆÕàæ"
"A few issues still trouble scholars, but the picture is fairly clear.  ","ÔÖİÑàçÑãçÕßåÕÍÕÛÖáæÅÕçÉÖáæÑŞåÎÖÙçÍ×ÛçÎÚå,ÄàæÄØæÅÕåÌÕãçÉÖâæÕåËÕãÍÕâÄâÌÕãÏÖåÇÕŞå."
"Many facts are still unclear to historians.  ","Í×åÄÖÙĞæĞçÑãçÑàçÀÖæÀİæÇÕæĞåÍ×ÛçËÕØÔÖÙåÇÕŞåËÕÛå"
"It is still shrouded in mystery.  ","ÅØÑãçÑàçÇÖãçÎŞæÒÜæĞáçÂÕæÎÎÖã."
"Its nature is still an intriguing puzzle to the learned.  ","ÒÜæÍ×ÛçÍÕçÃâÂÕàæ,ÅØÄÚèÀáåÎæÑãçÑàçĞæÕÈÚæÕßåÌ×æÄÚèÆàçÅÕç."
"Only the barest fragments of this amazing story have been uncovered.  It is one of the great untold tales of our times.  ","ÎÃØÍÕàæÇÕŞåÎÚæÈÚæĞáçÌÕçÈÖæĞæÄÚèÕÍÕÛÁÕàæÄÖàæ.ÎÚæĞæÖÙåÂáçÎÚæÈÚæĞçÄÜæÒÖİæÖİåÄØæÄÚèÈÖæĞæÎÕ."
"a vague agreement","ÕÈÚæÂÙçÊÖÄÚèÍÕÛçÕæ"
"a demand of unconditional surrender","ÕŞæÌÕßçÖçÅÕŞçËÕàæÅßçËÕâæ"
"a tribute agreement","ÕÃáæÒãæÁÕáåÍÕÛçÕæ"
"Race","ÎÖãåÒÖç"
"Poetry Competition","ĞÈÚÀÕåÔÜæ"
"Musical Competition","ÕáÇÚæÀÕåÔÜæ"
"Dance Competition","ÖåÄŞåÀÕåÔÜæ"
"Storytelling","ÁÕãçĞÖ"
"Poetry Recital","ĞÈÚÇâåÔÖãæ"
"Musical Performance","ÕáÇÚæÀÕŞåÕàå"
"Dance Performance","ÖåÄŞåÀÕŞåÕàå"
"The Occasion","ÏâçÊÚç"
" Occasion of ","ÏâçÊÚç"
"Journey","Ç×åÏãç"
"Rampage","ÊãçÏÖãÎçÎÖâæ"
"the Wilds","ÕÛåÑáç"
"Raid of ","ÍÕçËÕ"
" in the Wilds","ÒÜæÕÛåÖÜæ"
"Abduction","ÈÖÜå"
"I bind myself to this place.","ÖÙåÀØåÒæËÕåÀâåÒÜæÎÚæÈÚæÄÕæÃâ."
"By ","ÅÖãÈÖÙæ"
", once of the Underworld.  ",",ÒãËÕãÄÚèÄÕæÍÕØæĞæËÕÛæ."
"Ceremony","ÕçĞæ"
"Main Ceremony","ÎÖåÕŞæÕçĞæ"
"Closing Ceremony","ÀÕæÂÖæÕçĞæ"
"Opening Ceremony","ÉÜÂÖæĞæ"
"Procession","ÕßçÍÕãç"
"Gladiatory Games","ËÕŞåÄßåĞæÕßçÍÕæ"
" Throwing Competition","ÅßçÎæÀÕåÔÜæ"
"Wrestling Competition","ĞÖÜËÕŞÀÕåÔÜæ"
" Race","ÎÖãåÒÖç"
"Air Race","ÉÖãÎÖãËÕãæÔÜæ"
"leadership overthrown","ÇÕãåÄŞåÓãçÀİæÅÖİÃà"
"ambushed","ÃÖçËÕ"
"surprised","ÏØæÕæ"
"scuffle","ÄØåËÕØæ"
"subdued","ÎæÃÖç"
"2 lost after mutual wounds","ÊÖæÄßåÊßæ2ÑáçĞÒÖã"
"2 lost after giving wounds","ĞßæĞâÊßæÇÕâåÑáçĞÒÖã"
"2 lost after receiving wounds","ĞßæĞâÊßæ2ÑáçĞÒÖã"
"got into a brawl","Ë×àæÑÖæÇÕŞåÕÏâçÄßåß"
"confront","ÂÕàæÄÖİæ"
"corner","ËÕŞåÇÖÙæ"
"happen upon","ÃØĞãÒÜæ"
"neither favored","ËÕæÀÖæĞßæÊÖàÕãç"
"d slightly favored","ĞŞÖİÁÕàÜæ"
"d favored","ÌÕãÇÜæ"
"d strongly favored","ÃİÏâçĞßæÌÕãÇÜæ"
"a slightly favored","l???ÚæÖİÁÕàÜæ"
"a favored","ÕÈÚæĞßæÏÖãåÄÚèÑáç"
"a strongly favored","ÕÈÚæÌÕâçÇÕÛæÄÚèÌÕãÇÜæ"
"sadistic ghost","Ğn???ÚæÄÚèÕßÇÕãç"
"murderous ghost","ĞØÌÕæÅãçÅãçÄÚèÕßÇÕãç"
"bathe world in chaos","ÑâæĞæËÕÛæÍÕàæÑÖæÊÖáæÇÖàæ"
"attain rank in society","ÊÖÙæÄÚçĞÚæÊÖİæÄÕæÖİæ"
"make a great discovery","ÒÖÙæÏÖÖİåÄØæÄÚèÃØÍÕàæ"
"see the great natural sites","ÕßçÇÕæÎÚæĞæĞâæÄÚèÒæÑàçÌÕçËÕãå"
"fall in love","ÎÖİæÑÖæÜæÊÚç"
"master a skill","ÎâåÖÙæÕÍÕâæËÕæÆãç"
"become a legendary warrior","ÏãçÖİçÕÂÕãçÏÖàçÌÕçÎàæĞæ"
"bring peace to the world","ÖİçĞæËÕÛæÄÜæÇÜçÊÚçÁÕãç"
"craft a masterwork","ÎæÒÖÙæËÕÛçÒÖÙæ"
"create a great work of art","ÏÖâæÒŞæÏÖÖİåÄØæÄÚèÕæĞÖæÒÖÙæÁÕáå"
"rule the world","ÅÖãåÎæĞæËÕÛæ"
"forlorn haunt","ÈÖÄÖçÄÚèËÕØÊÖÙå"
"restless haunt","ÀÖæàÃáÄÚèÆŞæĞæÎÚå"
"troublesome poltergeist","ÂØçÃàçÄÚèÏŞåÆŞæÈÖİå"
"energetic poltergeist","ËÕãÇÕæÏÖãÁİæÄÚèÍÕŞåÈÖİå"
"secretive poltergeist","ĞáçÂÕæÄÚèÚæÒÖÙæË×æËÕØ"
"howling spirit","ÊŞçËÕŞæÄÚèÕßÊÖáç"
"moaning spirit","ĞáÕáçÄÚèÕßÊÖáç"
"angry ghost","ÃáæÆÖæÄÚèÈÖİå"
"violent ghost","ÀŞæÇÕæÄÚèÕßÇÕãç"
"start a family","ÒÖåËÕàæÕÈÚæËÕØÒÖç"
"immortality","ÀÖæÍÕßå"
"exec fed to beasts","ÏÖåÍÕãç:ÖİæÕÛåĞßæ"
"exec burned alive","ÏÖåÍÕãç:ĞŞÔå"
"exec drowned","ÏÖåÍÕãç:ÕàÔå"
